DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1
3699.375,145.734,116.067,5.422,73.033,2.683
3699.5,146.536,116.953,5.209,73.089,2.686
3699.625,146.432,117.375,4.915,73.555,2.69
3699.75,145.318,117.76,4.542,74.254,2.693
3699.875,143.758,118.557,4.129,74.928,2.694
3700,142.37,119.811,3.752,75.358,2.697
3700.125,141.533,121.242,3.483,75.458,2.704
3700.25,141.718,122.522,3.353,75.278,2.713
3700.375,143.164,123.434,3.361,74.953,2.721
3700.5,145.695,123.783,3.528,74.635,2.726
3700.625,148.589,123.509,3.839,74.445,2.726
3700.75,151.069,122.72,4.236,74.456,2.722
3700.875,152.787,121.557,4.641,74.689,2.718
3701,153.908,120.51,4.981,75.119,2.713
3701.125,154.5,119.997,5.211,75.675,2.711
3701.25,154.577,120.068,5.349,76.263,2.71
3701.375,154.063,120.29,5.423,76.794,2.708
3701.5,153.121,120.331,5.448,77.221,2.705
3701.625,152.307,120.264,5.457,77.544,2.699
3701.75,152.095,120.447,5.465,77.79,2.692
3701.875,152.785,120.893,5.495,77.98,2.686
3702,154.297,121.236,5.573,78.116,2.681
3702.125,156.206,121.173,5.696,78.187,2.677
3702.25,157.855,120.774,5.839,78.18,2.672
3702.375,158.534,120.131,5.971,78.095,2.669
3702.5,157.911,119.165,6.078,77.947,2.668
3702.625,156.152,117.578,6.187,77.766,2.673
3702.75,154.197,115.362,6.333,77.586,2.681
3702.875,153.206,113.016,6.514,77.435,2.689
3703,154.684,111.083,6.769,77.336,2.693
3703.125,158.782,109.774,7.17,77.313,2.691
3703.25,164.707,109.092,7.713,77.391,2.684
3703.375,170.522,108.997,8.336,77.585,2.674
3703.5,174.854,109.62,8.893,77.886,2.667
3703.625,177.64,111.35,9.267,78.245,2.664
3703.75,180.17,114.174,9.474,78.577,2.666
3703.875,182.947,117.436,9.605,78.774,2.668
3704,185.782,120.267,9.737,78.763,2.668
3704.125,187.489,121.98,9.914,78.541,2.664
3704.25,187.435,122.38,10.09,78.171,2.658
3704.375,185.905,121.947,10.177,77.745,2.655
3704.5,183.888,121.624,10.093,77.348,2.657
3704.625,182.469,122.183,9.825,77.045,2.662
3704.75,182.623,124.414,9.388,76.876,2.667
3704.875,184.327,128.034,8.857,76.852,2.669
3705,186.876,132.273,8.32,76.958,2.667
3705.125,189.293,136.053,7.876,77.158,2.661
3705.25,191.197,138.7,7.591,77.415,2.655
3705.375,193.059,139.676,7.521,77.683,2.652
3705.5,195.458,139.003,7.696,77.917,2.652
3705.625,198.212,136.992,8.12,78.081,2.656
3705.75,200.977,134.32,8.76,78.165,2.664
3705.875,203.456,131.401,9.535,78.186,2.673
3706,205.361,128.561,10.298,78.177,2.68
3706.125,206.434,125.863,10.981,78.171,2.684
3706.25,206.558,123.418,11.609,78.192,2.683
3706.375,206.273,121.468,12.176,78.255,2.68
3706.5,206.776,119.876,12.697,78.371,2.675
3706.625,208.324,118.405,13.12,78.542,2.67
3706.75,209.31,116.514,13.401,78.753,2.663
3706.875,207.425,113.594,13.548,78.971,2.659
3707,202.474,109.95,13.577,79.158,2.664
3707.125,196.846,106.681,13.467,79.275,2.686
3707.25,193.737,105.012,13.251,79.283,2.719
3707.375,194.006,105.357,12.94,79.15,2.745
3707.5,195.53,106.982,12.553,78.858,2.749
3707.625,195.642,108.355,12.087,78.385,2.727
3707.75,192.773,108.236,11.493,77.676,2.695
3707.875,186.209,105.601,10.839,76.643,2.667
3708,176.649,100.47,10.209,75.227,2.656
3708.125,164.165,93.928,9.628,73.505,2.658
3708.25,149.88,87.347,9.059,71.698,2.669
3708.375,136.737,81.881,8.515,70.074,2.68
3708.5,128.24,78.779,8.036,68.839,2.687
3708.625,126.872,79.359,7.785,68.091,2.689
3708.75,132.244,83.798,7.781,67.858,2.687
3708.875,141.318,91.173,8.027,68.104,2.683
3709,151.176,99.075,8.486,68.728,2.679
3709.125,159.684,105.37,9.078,69.583,2.674
3709.25,165.923,109.025,9.711,70.533,2.669
3709.375,169.994,110.226,10.347,71.48,2.665
3709.5,172.704,109.476,10.95,72.349,2.665
3709.625,175.426,107.776,11.557,73.077,2.667
3709.75,178.254,105.804,12.14,73.639,2.67
3709.875,180.389,103.901,12.652,74.065,2.673
3710,181.45,102.239,13.06,74.422,2.674
3710.125,181.602,100.909,13.328,74.757,2.673
3710.25,181.369,100.158,13.383,75.065,2.668
3710.375,181.095,100.317,13.208,75.309,2.661
3710.5,181.026,101.557,12.847,75.452,2.653
3710.625,181.584,103.695,12.411,75.464,2.647
3710.75,182.825,105.85,12.039,75.325,2.642
3710.875,184.165,106.964,11.848,75.035,2.639
3711,184.918,105.989,11.931,74.619,2.635
3711.125,185.006,102.766,12.319,74.131,2.631
3711.25,184.584,98.238,12.918,73.629,2.633
3711.375,183.489,93.894,13.559,73.158,2.642
3711.5,181.48,90.721,14.097,72.747,2.659
3711.625,178.658,89.115,14.454,72.427,2.675
3711.75,176.074,88.841,14.633,72.242,2.684
3711.875,174.816,89.558,14.664,72.226,2.683
3712,175.391,91.264,14.526,72.389,2.673
3712.125,177.182,93.939,14.205,72.694,2.659
3712.25,179.143,97.279,13.72,73.059,2.648
3712.375,180.112,100.823,13.108,73.381,2.642
3712.5,179.948,104.128,12.427,73.565,2.643
3712.625,179.178,106.866,11.778,73.553,2.647
3712.75,178.328,109.273,11.213,73.333,2.65
3712.875,177.317,111.449,10.769,72.942,2.647
3713,175.624,113.079,10.493,72.473,2.636
3713.125,173.296,113.914,10.384,72.06,2.619
3713.25,171.048,113.969,10.415,71.852,2.602
3713.375,169.487,113.497,10.542,71.96,2.593
