DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1
3971.44,172.607,109.238,8.1,78.286,2.63876
3971.565,170.682,106.56,8.034,78.149,2.63626
3971.69,171.408,105.591,8.18,78.133,2.63791
3971.815,174.567,106.527,8.488,78.202,2.64108
3971.94,179.252,109.122,8.796,78.26,2.64674
3972.065,184.044,115.284,8.988,78.245,2.65414
3972.19,186.005,117.862,9.042,78.123,2.6633
3972.315,187.087,119.366,9.015,77.868,2.67263
3972.44,185.453,119.657,8.856,77.462,2.684
3972.565,182.076,119.216,8.55,76.985,2.70372
3972.69,178.253,118.014,8.291,76.521,2.73255
3972.815,174.406,115.625,8.193,76.141,2.76575
3972.94,171.591,113.395,8.189,75.924,2.78751
3973.065,171.602,112.426,8.329,75.947,2.78626
3973.19,175.095,112.178,8.79,76.213,2.75857
3973.315,180.119,112.321,9.363,76.621,2.72086
3973.44,185.476,111.731,10.102,77.148,2.68476
3973.565,190.453,110.465,10.924,77.761,2.6573
3973.69,194.8,109.782,11.572,78.361,2.63655
3973.815,198.824,110.934,11.852,78.854,2.62168
3973.94,203.289,113.18,12.01,79.176,2.61413
3974.065,206.921,115.419,12.089,79.282,2.61413
3974.19,206.381,114.93,12.145,79.125,2.61813
3974.315,202.564,112.065,12.213,78.821,2.62442
3974.44,199.488,109.231,12.334,78.512,2.63095
3974.565,200.079,107.708,12.58,78.319,2.63753
3974.69,201.984,106.197,12.916,78.271,2.64155
3974.815,203.103,103.971,13.276,78.34,2.64209
3974.94,203.018,101.403,13.59,78.389,2.64045
3975.065,202.412,98.965,13.834,78.278,2.6378
3975.19,201.07,96.74,13.975,77.961,2.63617
3975.315,198.707,94.916,13.979,77.511,2.63795
3975.44,196.43,94.361,13.805,77.042,2.64359
3975.565,195.188,94.955,13.558,76.71,2.65101
3975.69,194.222,96.667,13.191,76.655,2.65361
3975.815,192.56,99.131,12.666,76.846,2.64884
3975.94,190.462,102.13,12.02,77.121,2.645
3976.065,189.495,104.89,11.495,77.308,2.65447
3976.19,189.94,107.534,11.099,77.372,2.67545
3976.315,189.131,108.944,10.779,77.391,2.68819
3976.44,185.461,109.039,10.329,77.578,2.68016
3976.565,179.275,107.657,9.812,78.157,2.65866
3976.69,173.53,105.3,9.499,79.192,2.63013
3976.815,171.557,104.102,9.461,80.409,2.60042
3976.94,174.726,105.822,9.55,81.409,2.59361
3977.065,181.22,109.432,9.744,81.796,2.6093
3977.19,188.566,112.986,10.079,81.53,2.62216
3977.315,194.396,115.49,10.4,80.801,2.624
3977.44,197.676,116.696,10.589,80.052,2.62709
3977.565,197.593,116.35,10.637,79.53,2.633
3977.69,193.451,113.774,10.566,79.327,2.64058
3977.815,187.262,110.335,10.326,79.257,2.64671
3977.94,180.697,107.441,9.952,79.134,2.66021
3978.065,175.359,105.554,9.638,78.864,2.68732
3978.19,172.556,104.846,9.445,78.595,2.72074
3978.315,173.526,106.574,9.299,78.529,2.74342
3978.44,178.411,110.447,9.332,78.777,2.74113
3978.565,184.868,113.104,9.762,79.249,2.71514
3978.69,190.168,113.081,10.43,79.83,2.67845
3978.815,194.43,112.059,11.07,80.395,2.64688
3978.94,199.115,109.104,12.014,80.885,2.62884
3979.065,204.207,104.336,13.268,81.288,2.62737
3979.19,207.697,101.622,14.026,81.641,2.63563
3979.315,207.698,101.815,14.028,81.935,2.64976
3979.44,204.126,103.642,13.502,82.104,2.66103
3979.565,200.613,106.304,12.829,82.141,2.6635
3979.69,199.697,109.115,12.318,82.065,2.65753
3979.815,201.214,111.873,12.009,81.922,2.64784
3979.94,202.533,114.245,11.739,81.758,2.6368
3980.065,201.787,114.513,11.593,81.603,2.62611
3980.19,199.129,112.272,11.626,81.46,2.62189
3980.315,195.963,109.474,11.677,81.329,2.63011
3980.44,193.412,107.737,11.656,81.223,2.65279
3980.565,192.08,107.426,11.574,81.165,2.67779
3980.69,192.494,108.383,11.477,81.189,2.692
3980.815,195.355,111.991,11.284,81.395,2.68739
3980.94,199.99,117.648,11.033,81.811,2.67211
3981.065,204.977,123.254,10.822,82.394,2.65846
3981.19,207.435,125.229,10.828,83.029,2.65342
3981.315,207.24,124.168,11.007,83.603,2.65279
3981.44,206.197,121.053,11.392,83.925,2.65029
3981.565,206.164,117.607,11.912,83.955,2.643
3981.69,206.949,114.278,12.486,83.774,2.63182
3981.815,207.344,111.495,12.952,83.457,2.61779
3981.94,208.606,109.604,13.369,83.117,2.60547
3982.065,213.122,108.943,13.945,82.781,2.59895
3982.19,220.259,109.734,14.571,82.413,2.598
3982.315,225.564,111.108,14.88,81.989,2.6
3982.44,226.558,111.679,14.852,81.491,2.6
3982.565,222.374,110.306,14.664,80.825,2.59614
3982.69,213.534,108.297,14.02,79.924,2.593
3982.815,199.947,108.423,12.185,78.752,2.59479
3982.94,184.644,109.972,9.804,77.28,2.60224
3983.065,170.533,108.736,8.177,75.513,2.61347
3983.19,156.719,103.68,7.175,73.51,2.62736
3983.315,140.216,95.009,6.131,71.492,2.64553
3983.44,122.224,82.207,5.396,69.644,2.66516
3983.565,107.096,68.837,5.274,68.195,2.6787
3983.69,98.014,60.953,5.281,67.367,2.67909
3983.815,95.663,59.091,5.276,67.259,2.66676
3983.94,99.16,62.974,5.137,67.922,2.65336
3984.065,104.337,68.737,4.956,69.12,2.64961
3984.19,108.4,73.551,4.789,70.677,2.65763
3984.315,110.67,76.306,4.707,72.361,2.67284
3984.44,113.616,80.058,4.595,73.946,2.68612
3984.565,120.546,85.776,4.689,75.335,2.69087
3984.69,134.761,91.588,5.772,76.496,2.68547
3984.815,154.01,94.688,7.968,77.446,2.67613
3984.94,172.203,96.503,10.128,78.163,2.66626
3985.065,183.245,98.154,11.163,78.646,2.65786
3985.19,187.48,98.828,11.49,78.918,2.652
3985.315,188.071,98.262,11.671,78.951,2.65413
3985.44,187.397,97.466,11.786,78.732,2.6631
3985.565,185.277,97.224,11.694,78.297,2.67292
3985.69,181.981,98.356,11.246,77.762,2.67663
3985.815,179.425,100.095,10.744,77.275,2.67518
3985.94,179.181,102.772,10.302,76.953,2.67118
3986.065,180.579,106.867,9.814,76.956,2.67055
3986.19,180.917,110.675,9.29,77.287,2.671
3986.315,178.893,113.768,8.666,77.851,2.671
3986.44,175.988,115.5,8.136,78.496,2.66853
3986.565,174.174,116.277,7.867,79.182,2.667
3986.69,174.797,116.71,7.882,79.919,2.66925
3986.815,176.225,117.517,7.927,80.68,2.67558
3986.94,178.264,118.697,7.988,81.435,2.68104
3987.065,182.325,121.102,8.123,82.103,2.68066
3987.19,187.282,123.948,8.306,82.518,2.67211
3987.315,190.061,126.087,8.33,82.545,2.6632
3987.44,187.525,126.176,8.048,82.161,2.66278
3987.565,182.145,124.083,7.732,81.592,2.67432
3987.69,176.637,119.773,7.703,81.027,2.68941
3987.815,172.889,115.008,7.946,80.678,2.69449
3987.94,172.021,112.071,8.248,80.661,2.68611
3988.065,175.366,109.343,8.964,81.033,2.66396
3988.19,181.505,105.84,10.097,81.679,2.63892
3988.315,186.766,102.623,11.085,82.433,2.61713
3988.44,187.952,100.798,11.458,83.141,2.60121
3988.565,186.677,98.615,11.657,83.648,2.59329
3988.69,185.332,96.771,11.794,83.848,2.593
3988.815,184.211,95.495,11.847,83.683,2.60087
3988.94,182.485,93.878,11.876,83.349,2.61221
3989.065,180.031,91.533,11.963,83.053,2.62353
3989.19,178.354,89.819,12.056,83.017,2.63126
3989.315,178.962,90.122,12.08,83.317,2.6352
3989.44,182.187,92.349,12.125,83.939,2.63684
3989.565,186.461,95.403,12.198,84.67,2.63897
3989.69,189.541,97.891,12.233,85.294,2.64247
3989.815,190.226,98.987,12.224,85.685,2.64829
3989.94,190.659,99.87,12.224,85.849,2.65141
3990.065,192.733,101.155,12.307,85.879,2.65192
3990.19,195.797,102.183,12.486,85.882,2.64795
3990.315,197.399,102.096,12.649,85.859,2.64168
3990.44,196.989,101.004,12.745,85.749,2.63612
3990.565,195.539,99.573,12.798,85.523,2.63239
3990.69,193.328,98.539,12.708,85.21,2.632
3990.815,189.504,98.574,12.272,84.844,2.632
3990.94,184.978,99.218,11.677,84.584,2.632
3991.065,182.92,100.348,11.252,84.597,2.63451
3991.19,184.576,102.575,11.013,84.919,2.64103
3991.315,186.117,104.846,10.76,85.397,2.64879
3991.44,184.963,105.424,10.495,85.865,2.65291
3991.565,182.302,104.355,10.332,86.105,2.65127
3991.69,179.657,103.168,10.221,85.923,2.64937
3991.815,175.877,101.517,10.04,85.315,2.65409
3991.94,170.43,99.015,9.773,84.426,2.66684
3992.065,167.223,97.608,9.616,83.572,2.68103
3992.19,168.577,98.746,9.605,82.977,2.6888
3992.315,172.012,101.527,9.556,82.846,2.68414
3992.44,174.019,103.536,9.477,83.17,2.67211
3992.565,174.782,104.449,9.428,83.866,2.6573
3992.69,175.435,105.4,9.358,84.678,2.64156
3992.815,175.264,106.277,9.21,85.363,2.62821
3992.94,172.776,105.753,9.005,85.731,2.62067
3993.065,168.932,103.605,8.858,85.691,2.61842
3993.19,166.214,101.233,8.839,85.237,2.62226
3993.315,166.339,100.316,8.901,84.315,2.63118
3993.44,166.793,99.918,8.934,83.035,2.64304
3993.565,164.324,97.908,8.932,81.565,2.65776
3993.69,158.019,94.073,8.795,80.15,2.66909
3993.815,152.832,91.281,8.618,79.045,2.6697
3993.94,153.566,92.159,8.579,78.53,2.65795
3994.065,160.75,97.042,8.735,78.821,2.64268
3994.19,168.613,101.74,8.979,79.672,2.63518
3994.315,172.148,101.368,9.428,80.8,2.64008
3994.44,171.223,96.329,10.1,81.944,2.65268
3994.565,169.756,91.062,10.783,82.947,2.6611
3994.69,171.829,88.195,11.443,83.642,2.65905
3994.815,178.056,86.866,12.292,84.04,2.64895
3994.94,185.183,86.91,13.035,84.236,2.63582
3995.065,188.308,88.837,13.104,84.216,2.62571
3995.19,186.082,91.745,12.511,83.975,2.621
3995.315,180.916,95.362,11.523,83.563,2.62195
3995.44,177.119,98.322,10.703,83.066,2.62616
3995.565,175.038,99.675,10.269,82.511,2.62633
3995.69,172.847,101.316,9.735,81.854,2.61966
3995.815,169.077,103.221,8.965,81.104,2.609
3995.94,165.198,104.912,8.229,80.355,2.603
3996.065,163.301,106.218,7.79,79.684,2.60616
3996.19,163.534,107.919,7.518,79.132,2.61737
3996.315,164.362,109.515,7.326,78.717,2.6282
3996.44,163.213,109.012,7.24,78.436,2.63171
3996.565,158.532,104.143,7.345,78.209,2.63066
3996.69,151.649,96.593,7.553,78.039,2.63
3996.815,146.347,91.228,7.677,78.093,2.63163
3996.94,145.534,90.657,7.667,78.486,2.63553
3997.065,149.292,94.988,7.47,79.244,2.63882
3997.19,154.471,101.889,7.098,80.277,2.63689
3997.315,157.758,107.561,6.718,81.372,2.62989
3997.44,158.168,110.259,6.437,82.33,2.6192
3997.565,158.197,112.452,6.176,83,2.61011
3997.69,159.487,115.486,5.918,83.395,2.60721
3997.815,160.208,117.003,5.797,83.551,2.61275
3997.94,158.592,114.984,5.902,83.542,2.62416
3998.065,156.685,111.063,6.225,83.401,2.63408
3998.19,157.349,108.462,6.623,83.119,2.63633
3998.315,159.074,106.604,7.011,82.744,2.62942
3998.44,158.905,104.06,7.315,82.379,2.62221
3998.565,156.117,100.685,7.516,82.219,2.62378
3998.69,153.483,98.275,7.621,82.38,2.63413
3998.815,153.296,98.084,7.655,82.927,2.64796
3998.94,156.429,100.825,7.654,83.792,2.65857
3999.065,161.923,105.298,7.679,84.735,2.66168
3999.19,167.418,109.35,7.748,85.497,2.65604
3999.315,169.93,110.833,7.819,85.892,2.64266
3999.44,169.26,110.166,7.844,85.925,2.62513
3999.565,166.174,108.139,7.807,85.671,2.60929
3999.69,162.105,106.649,7.547,85.33,2.60129
3999.815,157.914,105.951,7.102,85.037,2.602
3999.94,154.837,105.607,6.717,84.845,2.60918
4000.065,153.627,105.467,6.518,84.645,2.61528
